1239,1998-08-22,1998-08-31,Texas Tropical Storm Charley (DR-1239),""
1257,1998-10-17,1998-11-15,"Texas Severe Storms, Flooding and Tornadoes (DR-1257)",The head of the Federal Emergency Management Agency (FEMA) today announced the release of a federal action plan ordered by President Clinton for the long-term recovery of families and communities in Puerto Rico affected by Hurricane Georges.
1260,1998-12-23,1998-12-29,Tennessee Winter Storm (DR-1260),Twelve counties in tornado-ravaged western Tennessee have been designated eligible for federal assistance by the head of the Federal Emergency Management Agency (FEMA) under President Clinton's major disaster declaration issued for the state this morning.
1261,1998-12-23,1998-12-29,Alabama Freezing Rain and Ice Storm (DR-1261),"Federal disaster aid has been made available to help communities in nine northern Alabama counties recover from the crippling winter storm that hit the state late last year, according to the head of the Federal Emergency Management Agency (FEMA)."
1262,1999-01-17,1999-02-01,"Tennessee Severe Storms, Tornadoes, and High Winds (DR-1262)","Tornado disaster victims in Tennessee have received a total of  $16.1 million in aid as of today.   More than 1,942  Tennesseans have applied for the various forms of federal/state aid so far.  The application period will close March 19.  Those who have not already applied should call 1-800-462-9029 from 8:00 a.m. to 5:00 p.m. CST Monday through Friday."
1264,1998-12-22,1998-12-28,Louisiana Freezing Rain and Ice Storm (DR-1264),The head of the Federal Emergency Management Agency (FEMA) announced today the federal disaster aid has been made available to help local governments in 18 Louisiana parishes recover from the effects of a crippling ice storm that hit the state late last year.
1265,1998-12-23,1998-12-26,"Mississippi Severe Winter Storms, Ice and Freezing Rain (DR-1265)","Federal disaster funds have been made available to supplement state and local recovery efforts for communities in central and northern Mississippi damaged by last month's Christmas storm, according to the head of the Federal Emergency Management Agency (FEMA)."
1266,1999-01-21,1999-01-31,"Arkansas Severe Storms, Tornadoes, High Winds and Flooding (DR-1266)","Tuesday, Mar. 23, 1999 is the last day for residents and business owners in the 15 Arkansas counties designated disaster areas to apply for disaster assistance, according to Federal Coordinating Officer Graham Nance and State Coordinating Officer David Maxwell.The 15 counties"
1268,1998-10-05,1998-10-09,Wyoming Severe Winter Storm (DR-1268),"The Federal Emergency Management Agency (FEMA) and the Wyoming Emergency Management Agency (WEMA) today announced the approval of federal public assistance to help reimburse applicants in Niobrara County for eligible disaster-related expenditures following last October's severe winter storm. Niobrara County, Wyoming sustained severe winds, freezing temperatures, ice and snow on October 5, 1998, resulting in the loss of electrical power throughout the county. This storm left all 2,499 county residents without power."
1269,1999-04-03,1999-04-07,"Louisiana Severe Storms, Tornadoes and Flooding (DR-1269)","Another potential ""problem date "" in the Y2K computer system transition has passed without significant reported disruptions. As of today, there have been no reports of related computer problems resulting in system failures or service disruptions."
1271,1999-04-15,1999-04-15,Georgia Severe Storms and Tornadoes (DR-1271),"Residents of tornado-prone areas can get information from the Federal Emergency Management Agency (FEMA) about how to build a ""safe room"" in their homes that can provide protection against deadly tornadoes. The 25-page illustrated FEMA publication, Taking Shelter from the Storm: Building a Safe Room Inside Your House , outlines the basics of in-house safe room shelter design, including construction plans, materials and construction cost estimates."
1272,1999-05-03,1999-05-04,"Oklahoma Tornadoes, Severe Storms, and Flooding (DR-1272)","Almost 9,500 Oklahomans registered for federal and state disaster recovery assistance by the deadline Friday evening (July 2). To date, more than $67.8 million has been approved for grants and low-interest loans to help victims recover from the tornadoes, storms and floods that occurred May 3-5 in Oklahoma."
1273,1999-05-03,1999-05-06,Kansas Tornadoes and Severe Storms (DR-1273),"Beginning Tuesday, June 22, Kansans will be able to get specific information from disaster-prevention advisors on how to build disaster-resistant structures or rooms in their homes to provide better family protection from tornadoes."
1274,1999-05-04,1999-05-04,Texas Severe Storms and Tornadoes (DR-1274),"Due to extensive damage received from the May 4 tornados, affected residents of Gregg County are now eligible to apply for federal and state disaster assistance, joining Bowie, Red River and Titus counties."
1275,1999-05-05,1999-05-19,"Tennessee Severe Storms, Tornadoes and Flooding (DR-1275)","Federal disaster aid was made available today for families and businesses in 17 Tennessee counties victimized by tornadoes and other violent weather last week, according to the head of the Federal Emergency Management Agency (FEMA). FEMA Director James Lee Witt said the assistance was authorized under a major disaster declaration issued for the state by President Clinton. The declaration covers damage to private and public property from severe storms, tornadoes and flooding that hit the central and western parts of the state starting May 5."
1276,1999-04-29,1999-05-19,"Colorado Severe Storms, Flooding, Mudslides, and Landslides (DR-1276)","Tuesday, November 30, is the deadline for people in the Devils Lake area to get a flood insurance policy that may pay off even before their property is flooded."
1277,1999-05-16,1999-05-29,"Iowa Severe Storms, Flooding and Tornadoes (DR-1277)","Iowa victims of the May 16-29 storms who have not yet applied for federal disaster assistance have only one more week to apply. July 20, 1999 is the last day to file applications for most disaster assistance programs, according to federal and state disaster recovery officials."
1278,1999-05-16,1999-05-17,Illinois Severe Storms and Flash Flooding (DR-1278),"Federal disaster aid was made available for Illinois today to supplement the recovery needs of flood-stricken residents and communities in Jo Daviess County, according to the head of the Federal Emergency Management Agency (FEMA). FEMA Director James Lee Witt said President Clinton authorized the assistance under a major disaster declaration issued for the state this afternoon. The declaration covers damage from severe storms and flash flooding that struck the area May 16-17."
