STATE_NAME,CENSUS_REGION,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
Alabama,South,AL,1001,161526,Autauga,1539584443,25773561,594.437,9.951,32.53216,-86.646469
Alabama,South,AL,1003,161527,Baldwin,4117629064,1133084680,1589.826,437.486,30.659218,-87.746067
Alabama,South,AL,1005,161528,Barbour,2291820953,50864677,884.877,19.639,31.870253,-85.405104
Alabama,South,AL,1007,161529,Bibb,1612481768,9287964,622.583,3.586,33.015893,-87.127148
Alabama,South,AL,1009,161530,Blount,1670041814,15077461,644.807,5.821,33.977358,-86.56644
Alabama,South,AL,1011,161531,Bullock,1613058451,6055020,622.805,2.338,32.101759,-85.717261
Alabama,South,AL,1013,161532,Butler,2011976221,2727475,776.828,1.053,31.751667,-86.681969
Alabama,South,AL,1015,161533,Calhoun,1569245771,16568584,605.889,6.397,33.771706,-85.822513
Alabama,South,AL,1017,161534,Chambers,1545009295,17048126,596.531,6.582,32.915504,-85.394032
Alabama,South,AL,1019,161535,Cherokee,1434129432,119805389,553.72,46.257,34.069515,-85.654242
Alabama,South,AL,1021,161536,Chilton,1794483668,20586275,692.854,7.948,32.854051,-86.726607
Alabama,South,AL,1023,161537,Choctaw,2365954803,19059247,913.5,7.359,31.990997,-88.248908
Alabama,South,AL,1025,161538,Clarke,3207612199,36542657,1238.466,14.109,31.685521,-87.818624
Alabama,South,AL,1027,161539,Clay,1564252220,5284585,603.961,2.04,33.2704,-85.863525
Alabama,South,AL,1029,161540,Cleburne,1450663481,2354898,560.104,0.909,33.671964,-85.516126
Alabama,South,AL,1031,161541,Coffee,1758565665,3907876,678.986,1.509,31.402258,-85.989602
Alabama,South,AL,1033,161542,Colbert,1534878355,80029923,592.62,30.9,34.703112,-87.801457
Alabama,South,AL,1035,161543,Conecuh,2201896148,6643478,850.157,2.565,31.430926,-86.988722
Alabama,South,AL,1037,161544,Coosa,1685891146,39946546,650.926,15.423,32.931445,-86.243482
Alabama,South,AL,1039,161545,Covington,2668869603,34526168,1030.456,13.331,31.243987,-86.448721
Alabama,South,AL,1041,161546,Crenshaw,1576887981,5376388,608.84,2.076,31.732826,-86.319222
Alabama,South,AL,1043,161547,Cullman,1903376431,52118768,734.898,20.123,34.131923,-86.869267
Alabama,South,AL,1045,161548,Dale,1453371192,4016457,561.15,1.551,31.430654,-85.609476
