ZIP,CENSUS_REGION,STATE_NAME,CITY_NAME,STATE,LAT,LONG,COUNTY
00501,Northeast,New York,HOLTSVILLE,NY,40.8152,73.0455,SUFFOLK
00544,Northeast,New York,HOLTSVILLE,NY,40.8152,73.0455,SUFFOLK
00601,Territory,Puerto Rico,ADJUNTAS,PR,18.1788,66.7516,ADJUNTAS
00602,Territory,Puerto Rico,AGUADA,PR,18.381389,67.188611,AGUADA
00603,Territory,Puerto Rico,AGUADILLA,PR,18.4554,67.1308,AGUADILLA
00604,Territory,Puerto Rico,AGUADILLA,PR,18.4812,67.1467,AGUADILLA
00605,Territory,Puerto Rico,AGUADILLA,PR,18.429444,67.154444,AGUADILLA
00606,Territory,Puerto Rico,MARICAO,PR,18.182778,66.980278,MARICAO
00610,Territory,Puerto Rico,ANASCO,PR,18.284722,67.14,ANASCO
00611,Territory,Puerto Rico,ANGELES,PR,18.286944,66.799722,UTUADO
00612,Territory,Puerto Rico,ARECIBO,PR,18.4389,66.6924,ARECIBO
00613,Territory,Puerto Rico,ARECIBO,PR,18.1399,66.6344,ARECIBO
00614,Territory,Puerto Rico,ARECIBO,PR,18.1399,66.6344,ARECIBO
00616,Territory,Puerto Rico,BAJADERO,PR,18.428611,66.683611,ARECIBO
00617,Territory,Puerto Rico,BARCELONETA,PR,18.4525,66.538889,BARCELONETA
00622,Territory,Puerto Rico,BOQUERON,PR,18.028889,67.169444,CABO ROJO
00623,Territory,Puerto Rico,CABO ROJO,PR,18.083611,67.148889,CABO ROJO
00624,Territory,Puerto Rico,PENUELAS,PR,18.058333,66.721944,PENUELAS
00627,Territory,Puerto Rico,CAMUY,PR,18.485833,66.845278,CAMUY
00631,Territory,Puerto Rico,CASTANER,PR,18.2165,66.8681,LARES
00636,Territory,Puerto Rico,ROSARIO,PR,18.163333,67.081667,SAN GERMAN
00637,Territory,Puerto Rico,SABANA GRANDE,PR,18.079722,66.960833,SABANA GRANDE
00638,Territory,Puerto Rico,CIALES,PR,18.338056,66.469167,CIALES
00641,Territory,Puerto Rico,UTUADO,PR,18.2675,66.700833,UTUADO
00646,Territory,Puerto Rico,DORADO,PR,18.464444,66.270278,DORADO
00647,Territory,Puerto Rico,ENSENADA,PR,17.968333,66.933333,GUANICA
00650,Territory,Puerto Rico,FLORIDA,PR,18.364444,66.561667,FLORIDA
00652,Territory,Puerto Rico,GARROCHALES,PR,18.459722,66.611389,ARECIBO
00653,Territory,Puerto Rico,GUANICA,PR,17.973611,66.908333,GUANICA
00656,Territory,Puerto Rico,GUAYANILLA,PR,18.02,66.79,GUAYANILLA
00659,Territory,Puerto Rico,HATILLO,PR,18.488333,66.825833,HATILLO
00660,Territory,Puerto Rico,HORMIGUEROS,PR,18.14,67.128333,HORMIGUEROS
00662,Territory,Puerto Rico,ISABELA,PR,18.496667,67.026389,ISABELA
00664,Territory,Puerto Rico,JAYUYA,PR,18.220556,66.591944,JAYUYA
00667,Territory,Puerto Rico,LAJAS,PR,18.05,67.061667,LAJAS
00669,Territory,Puerto Rico,LARES,PR,18.296667,66.8775,LARES
00670,Territory,Puerto Rico,LAS MARIAS,PR,18.295278,67.146667,LAS MARIAS
00674,Territory,Puerto Rico,MANATI,PR,18.425833,66.471667,MANATI
00676,Territory,Puerto Rico,MOCA,PR,18.395,67.163333,MOCA
00677,Territory,Puerto Rico,RINCON,PR,18.34,67.25,RINCON
00678,Territory,Puerto Rico,QUEBRADILLAS,PR,18.475833,66.938889,QUEBRADILLAS
00680,Territory,Puerto Rico,MAYAGUEZ,PR,18.2011,67.1172,MAYAGUEZ
00681,Territory,Puerto Rico,MAYAGUEZ,PR,18.2038,67.1445,MAYAGUEZ
00682,Territory,Puerto Rico,MAYAGUEZ,PR,18.2149,67.1518,MAYAGUEZ
00683,Territory,Puerto Rico,SAN GERMAN,PR,18.083611,67.045278,SAN GERMAN
00685,Territory,Puerto Rico,SAN SEBASTIAN,PR,18.338611,66.990556,SAN SEBASTIAN
00687,Territory,Puerto Rico,MOROVIS,PR,18.327778,66.406944,MOROVIS
00688,Territory,Puerto Rico,SABANA HOYOS,PR,18.435833,66.614167,ARECIBO
00690,Territory,Puerto Rico,SAN ANTONIO,PR,18.4475,66.298056,AGUADILLA
00692,Territory,Puerto Rico,VEGA ALTA,PR,18.414167,66.331667,VEGA ALTA
00693,Territory,Puerto Rico,VEGA BAJA,PR,18.4385,66.3983,VEGA BAJA
00694,Territory,Puerto Rico,VEGA BAJA,PR,18.4533,66.4069,VEGA BAJA
00698,Territory,Puerto Rico,YAUCO,PR,18.036944,66.850278,YAUCO
00703,Territory,Puerto Rico,AGUAS BUENAS,PR,18.258333,66.105,AGUAS BUENAS
00704,Territory,Puerto Rico,AGUIRRE,PR,18.25,66.103056,SALINAS
00705,Territory,Puerto Rico,AIBONITO,PR,18.141667,66.265,AIBONITO
00707,Territory,Puerto Rico,MAUNABO,PR,18.009167,65.899722,MAUNABO
00714,Territory,Puerto Rico,ARROYO,PR,17.963333,66.063333,ARROYO
00715,Territory,Puerto Rico,MERCEDITA,PR,18.0052,66.5602,PONCE
00716,Territory,Puerto Rico,PONCE,PR,18.015556,66.58,PONCE
